606|06800084680|202508|10
101796822|1|02|E310007131775||20250801||198.52|0.00|198.52|25.48|0.00||0.00|25.48||||0.00|0.00|0.00|0.00|03
101602465|1|02|E310008104965||20250806||1115.00|0.00|1115.00|18.00|0.00||0.00|18.00||||0.00|0.00|0.00|0.00|03
101796822|1|02|E310007131862||20250808||763.47|0.00|763.47|38.48|0.00||0.00|38.48||||0.00|0.00|0.00|0.00|03
101019921|1|02|E310002600127||20250817||2995.00|0.00|2995.00|0.00|0.00||0.00|0.00||||0.00|0.00|0.00|0.00|01
101796822|1|02|E310007132001||20250818||1557.19|0.00|1557.19|98.09|0.00||0.00|98.09||||0.00|0.00|0.00|0.00|01
101796822|1|02|E310005307810||20250821||2785.30|0.00|2785.30|359.61|0.00||0.00|359.61||||0.00|0.00|0.00|0.00|01
101796822|1|02|E310007132059||20250823||372.96|0.00|372.96|41.04|0.00||0.00|41.04||||0.00|0.00|0.00|0.00|01
101796822|1|02|E310005308243||20250825||268.56|0.00|268.56|11.44|0.00||0.00|11.44||||0.00|0.00|0.00|0.00|01
101796822|1|02|E310007132119||20250827||921.20|0.00|921.20|56.60|0.00||0.00|56.60||||0.00|0.00|0.00|0.00|01
101796822|1|02|E310008535456||20250829||294.92|0.00|294.92|53.08|0.00||0.00|53.08||||0.00|0.00|0.00|0.00|01
