606|06800084680|202509|16
101796822|1|02|E310007132191||20250901||790.64|0.00|790.64|0.00|0.00||0.00|0.00||||0.00|0.00|0.00|0.00|01
101068744|1|02|E310001720912||20250901||1450.50|0.00|1450.50|0.00|0.00||0.00|0.00||||0.00|0.00|0.00|0.00|07
101019921|1|02|E310002909789||20250902||1250.00|0.00|1250.00|0.00|0.00||0.00|0.00||||0.00|0.00|0.00|0.00|01
101019921|1|02|B0121488039||20250902||198.56|0.00|198.56|15.24|0.00||0.00|15.24||||0.00|0.00|0.00|0.00|02
101796822|1|09|E310007132217||20250903||0.00|379.66|379.66|68.34|0.00||0.00|68.34||||0.00|0.00|0.00|0.00|07
130414661|1|02|E310000025794||20250904||576.27|0.00|576.27|103.73|0.00||0.00|103.73||||0.00|0.00|0.00|0.00|07
101796822|1|09|E310007132248||20250905||0.00|657.81|657.81|59.19|0.00||0.00|59.19||||0.00|0.00|0.00|0.00|07
101796822|1|09|E310007132315||20250909||0.00|949.95|949.95|0.00|0.00||0.00|0.00||||0.00|0.00|0.00|0.00|07
101796822|1|09|E310007132351||20250911||0.00|495.09|495.09|29.11|0.00||0.00|29.11||||0.00|0.00|0.00|0.00|07
101602465|1|09|E310008371727||20250918||0.00|7912.97|7912.97|663.03|0.00||0.00|663.03||||0.00|0.00|0.00|0.00|07
101796822|1|09|E310007132473||20250919||0.00|473.01|473.01|28.83|0.00||0.00|28.83||||0.00|0.00|0.00|0.00|07
101019921|1|09|E310003130671||20250921||0.00|1450.00|1450.00|0.00|0.00||0.00|0.00||||0.00|0.00|0.00|0.00|01
101691956|1|02|B0100211587||20250924||290.59|0.00|290.59|52.31|0.00||0.00|52.31||||0.00|0.00|0.00|0.00|01
101796822|1|02|E310007132570||20250925||136.09|0.00|136.09|12.36|0.00||0.00|12.36||||0.00|0.00|0.00|0.00|01
131580947|1|02|B0100020063||20250927||584.75|0.00|584.75|105.26|0.00||0.00|105.26||||0.00|0.00|0.00|0.00|07
101796822|1|02|E310008538990||20250928||171.22|0.00|171.22|0.00|0.00||0.00|0.00||||0.00|0.00|0.00|0.00|01
